Function Header,Docstring,Num. Words,Original Code,Predicted Code,Exact Match,CHRF,Levenshtein,Jaro
"def multiply(x, y):","""""""Return the product of x and y.""""""",3,return x * y,return x * y,1.0,1.0,1.0,1.0
"def knapsack(weights, values, capacity):","""""""Return the maximum value that can be obtained from the knapsack problem.""""""",4,    dp = [[0 for _ in range(capacity + 1)] for _ in range(n + 1)],dp = [[0 for _ in range(capacity + 1)] for _  in range(n + 1)],0.0,1.0,0.991869918699187,0.9618367706680768
"def is_anagram(str1, str2):","""""""Return True if str1 and str2 are anagrams, else False.""""""",5,"cleaned_str1 = sorted(str1.replace(' ', '').lower())",cleaned_str1 = str1.lower(),0.0,0.46474185943603513,0.6835443037974683,0.7780151946818613
"def longest_common_subsequence(str1, str2):","""""""Return the longest common subsequence of str1 and str2.""""""",2,                dp[i][j] = dp[i - 1][j - 1] + 1,dp[i][j] = dp[i - 1][j - 1]  + 1,0.0,1.0,0.9841269841269842,0.9788306451612904
def quicksort(arr):,"""""""Return a sorted list using the quicksort algorithm.""""""",3,    return quicksort(left) + middle + quicksort(right),return quicksort(left) + [pivot] + quicksort(middle) + quicksort(right),0.0,0.8069723510742187,0.8264462809917356,0.8214084507042253
def find_longest_word(words):,"""""""Return the longest word from a list of words.""""""",4,        if len(word) > len(longest_word):,if len(word) > longest_word:,0.0,0.7495273590087891,0.9180327868852459,0.9375901875901876
"def dijkstra(graph, start):","""""""Return the shortest path distances from start to all other nodes in the graph.""""""",4,"    queue = [(0, start)]","return heapq.nsmallest(len(graph), start, key=lambda x: x[1])",0.0,0.21272546768188477,0.2962962962962963,0.5097449908925319
def sieve_of_eratosthenes(limit):,"""""""Return a list of all prime numbers up to the given limit using the Sieve of Eratosthenes.""""""",3,"    for number in range(2, int(limit ** 0.5) + 1):","for number in range(2, int(limit ** 0.5) + 1):",1.0,1.0,1.0,1.0
def count_vowels(s):,"""""""Return the number of vowels in a given string.""""""",4,    for char in s:,for c in s:,0.0,0.35911251068115235,0.88,0.9285714285714285
"def merge_sorted_lists(list1, list2):","""""""Return a new sorted list by merging two sorted lists.""""""",7,        if list1[i] < list2[j]:,merged.append(list1[i]),0.0,0.2975825309753418,0.34782608695652173,0.39337474120082816
"def subtract(x, y):","""""""Return the difference of x and y.""""""",3,return x - y,return x - y,1.0,1.0,1.0,1.0
